shot_name,speed_mph,vla_deg,hla_deg,total_spin_rpm,spin_axis_deg,launch_regime_key,carry_window,physics_carry_yd,flightscope_carry_yd,diff_carry_yd,physics_carry_raw_yd,diff_carry_raw_yd,physics_total_yd,flightscope_total_yd,diff_total_yd,rollout_physics_yd,rollout_flightscope_yd,diff_rollout_yd,physics_apex_ft,flightscope_apex_ft,diff_apex_ft,carry_exception_regime,carry_exception_offset_yd,carry_exception_source,carry_exception_applied,status
driver4,119.0,15.5,-10.2,4454,-7.8,D-S3-V1-P2,150-180,176.9,175.6,1.3,176.9,1.3,190.2,180.9,9.3,13.3,5.3,8.0,76.2,73.8,2.4,,,,false,moderate
flop_test_shot,68.0,45.0,0.5,12000,0.8,W-S1a-V4-P4,<115,61.6,61.8,-0.2,61.6,-0.2,61.9,60.3,1.6,0.3,-1.5,1.8,68.3,76.8,-8.5,,,,false,pass
p_wedge_shot_1,82.3,26.5,-3.1,4946,6.7,I-S1b-V3-P2,<115,105.7,104.5,1.2,105.7,1.2,116.1,107.3,8.8,10.4,2.8,7.6,58.3,60.5,-2.2,,,,false,moderate
s2_shot_10,89.7,25.5,-3.1,6446,6.2,I-S2-V3-P3,115-150,118.5,115.1,3.4,118.5,3.4,126.6,116.4,10.2,8.1,1.3,6.8,66.0,72.0,-6.0,,,,false,severe
s2_shot_11,78.5,29.6,4.3,7350,10.7,I-S1b-V3-P3,<115,91.9,93.0,-1.1,91.9,-1.1,96.4,93.6,2.8,4.5,0.6,3.9,60.4,64.0,-3.6,,,,false,pass
s2_shot_12,90.8,24.5,-3.9,7261,4.9,I-S2-V2-P3,115-150,117.4,115.4,2.0,117.4,2.0,122.4,116.4,6.0,5.0,1.0,4.0,65.3,71.5,-6.2,,,,false,moderate
s2_shot_13,95.2,19.6,-1.1,5610,12.2,I-S2-V2-P3,115-150,124.2,125.3,-1.1,124.2,-1.1,129.4,128.7,0.7,5.2,3.4,1.8,51.5,58.4,-6.9,,,,false,pass
s2_shot_14,87.1,22.4,-2.0,5660,11.4,I-S2-V2-P3,<115,108.6,110.9,-2.3,108.6,-2.3,113.3,113.7,-0.4,4.7,2.8,1.9,49.3,55.9,-6.6,,,,false,pass
s2_shot_15,88.1,14.2,-0.3,4985,19.4,I-S2-V1-P2,<115,100.3,101.3,-1.0,100.3,-1.0,100.4,113.1,-12.7,0.1,11.8,-11.7,26.9,28.9,-2.0,,,,false,severe
s2_shot_16,94.1,19.1,-5.9,5291,5.0,I-S2-V2-P2,115-150,124.0,124.3,-0.3,124.0,-0.3,130.3,128.1,2.2,6.3,3.8,2.5,51.8,55.3,-3.5,,,,false,pass
s2_shot_17,122.9,14.4,-1.3,4119,6.7,D-S4-V1-P2,180-200,184.9,184.0,0.9,184.9,0.9,195.0,190.3,4.7,10.1,6.3,3.8,66.7,71.8,-5.1,,,,false,pass
s2_shot_18,105.7,20.5,-1.7,5667,8.2,I-S3-V2-P3,115-150,144.7,146.8,-2.1,144.7,-2.1,156.6,149.4,7.2,11.9,2.6,9.3,76.9,80.4,-3.5,,,,false,moderate
s2_shot_19,128.6,12.5,-8.4,2514,5.1,D-S4-V1-P1,180-200,192.4,194.5,-2.1,192.4,-2.1,198.2,208.7,-10.5,5.8,14.2,-8.4,55.1,57.3,-2.2,,,,false,severe
s2_shot_20,120.9,15.0,-3.0,4245,9.6,D-S4-V1-P2,150-180,180.9,179.4,1.5,180.9,1.5,192.8,185.3,7.5,11.9,5.9,6.0,69.3,72.3,-3.0,,,,false,moderate
s2_shot_21,127.3,7.2,-11.5,2321,-19.5,D-S4-V0-P0,150-180,159.8,154.9,4.9,159.8,4.9,214.2,186.5,27.7,54.4,31.6,22.8,24.8,23.1,1.7,,,,false,severe
s2_shot_22,123.3,14.0,-6.1,3104,10.0,D-S4-V1-P1,180-200,186.0,185.4,0.6,186.0,0.6,193.1,195.5,-2.4,7.1,10.1,-3.0,60.3,63.0,-2.7,,,,false,pass
s2_shot_23,125.5,8.6,-14.3,3062,-23.9,D-S4-V0-P1,150-180,161.1,161.9,-0.8,161.1,-0.8,161.1,185.0,-23.9,0.0,23.1,-23.1,29.8,31.0,-1.2,,,,false,severe
s2_shot_24,121.5,14.5,-11.2,3173,-6.8,D-S4-V1-P1,180-200,183.5,183.0,0.5,183.5,0.5,191.3,192.8,-1.5,7.8,9.8,-2.0,61.6,64.6,-3.0,,,,false,pass
s2_shot_26,117.0,18.4,-2.0,5035,9.7,I-S3-V2-P2,150-180,172.4,170.7,1.7,172.4,1.7,194.8,174.2,20.6,22.4,3.5,18.9,111.6,88.1,23.5,,,,false,severe
s2_shot_27,113.0,17.6,-2.3,4292,12.2,D-S3-V1-P2,150-180,163.1,164.5,-1.4,163.1,-1.4,178.8,169.6,9.2,15.7,5.1,10.6,76.8,73.6,3.2,,,,false,moderate
s2_shot_9,94.4,20.1,2.4,4020,16.3,I-S2-V2-P2,115-150,123.2,126.5,-3.3,123.2,-3.3,134.1,132.5,1.6,10.9,6.0,4.9,61.9,54.8,7.1,,,,false,moderate
s3_shot_3w_18,47.9,45.8,34.0,7491,30.0,C-S0-V4-P3,,40.4,,,40.4,,46.1,,,5.7,,,37.7,,,,,,false,
s3_shot_3w_19,121.3,5.6,-4.8,1662,-11.9,D-S4-V0-P0,115-150,120.0,120.6,-0.6,120.0,-0.6,181.8,165.8,16.0,61.8,45.2,16.6,12.3,12.2,0.1,,,,false,severe
s3_shot_3w_21,119.4,5.3,-3.4,1760,-10.5,D-S3-V0-P0,<115,115.2,114.6,0.6,115.2,0.6,176.4,160.5,15.9,61.2,45.9,15.3,11.2,10.9,0.3,,,,false,severe
s3_shot_3w_22,108.9,5.6,-7.2,2501,-1.8,I-S3-V0-P1,<115,105.8,103.2,2.6,105.8,2.6,160.9,141.3,19.6,55.1,38.1,17.0,11.0,10.5,0.5,,,,false,severe
s3_shot_3w_23,115.8,8.9,-0.8,2804,2.2,D-S3-V0-P1,115-150,147.8,147.7,0.1,147.8,0.1,147.6,170.9,-23.3,-0.2,23.2,-23.4,26.7,28.0,-1.3,,,,false,severe
s3_shot_3w_24,123.4,6.3,-5.4,2752,-13.3,D-S4-V0-P1,115-150,148.2,145.9,2.3,148.2,2.3,200.5,176.7,23.8,52.3,30.8,21.5,20.5,19.8,0.7,,,,false,severe
s3_shot_5i_10,88.0,14.2,1.2,4065,8.4,I-S2-V1-P2,<115,105.6,103.1,2.5,105.6,2.5,109.1,116.7,-7.6,3.5,13.6,-10.1,34.2,28.4,5.8,,,,false,moderate
s3_shot_5i_11,90.6,14.4,-0.2,3360,7.8,I-S2-V1-P1,<115,107.3,108.8,-1.5,107.3,-1.5,108.7,124.1,-15.4,1.4,15.3,-13.9,29.1,29.8,-0.7,,,,false,severe
s3_shot_5i_12,74.2,10.2,-1.7,3321,15.8,I-S1b-V1-P1,<115,59.5,58.4,1.1,59.5,1.1,58.4,81.9,-23.5,-1.1,23.5,-24.6,10.5,9.4,1.1,,,,false,severe
s3_shot_5i_13,75.0,8.0,2.5,3921,3.4,I-S1b-V0-P1,<115,56.2,53.9,2.3,56.2,2.3,89.0,78.9,10.1,32.8,25.0,7.8,7.4,6.8,0.6,,,,false,severe
s3_shot_5i_15,86.9,9.3,-4.0,2509,-4.9,I-S2-V0-P1,<115,74.0,78.6,-4.6,74.0,-4.6,121.1,106.6,14.5,47.1,28.0,19.1,11.0,12.1,-1.1,,,,false,severe
s3_shot_5i_16,98.0,9.1,-2.1,3776,1.7,I-S2-V0-P1,<115,110.0,109.1,0.9,110.0,0.9,109.0,130.0,-21.0,-1.0,20.9,-21.9,19.5,19.7,-0.2,,,,false,severe
s3_shot_5i_17,56.5,10.0,24.1,5178,29.1,C-S0-V0-P2,<115,32.2,30.6,1.6,32.2,1.6,51.2,46.9,4.3,19.0,16.3,2.7,4.7,4.5,0.2,,,,false,pass
s3_shot_6i_35,80.5,15.3,-1.3,4667,-0.0,I-S1b-V1-P2,<115,85.6,90.0,-4.4,85.6,-4.4,85.6,101.5,-15.9,0.0,11.5,-11.5,23.3,26.4,-3.1,,,,false,severe
s3_shot_6i_36,78.9,10.4,16.1,4166,25.1,I-S1b-V1-P2,<115,70.6,67.8,2.8,70.6,2.8,69.1,89.1,-20.0,-1.5,21.3,-22.8,12.6,11.8,0.8,,,,false,severe
s3_shot_6i_37,82.6,10.2,11.0,3041,25.4,I-S1b-V1-P1,<115,67.8,71.5,-3.7,67.8,-3.7,109.1,97.2,11.9,41.3,25.7,15.6,10.9,11.8,-0.9,,,,false,severe
s3_shot_6i_38,79.1,13.3,3.0,3187,11.6,I-S1b-V1-P1,<115,75.6,79.2,-3.6,75.6,-3.6,75.8,97.5,-21.7,0.2,18.3,-18.1,18.1,18.0,0.1,,,,false,severe
s3_shot_6i_39,61.0,6.1,10.3,3285,22.0,I-S1a-V0-P1,<115,24.0,24.0,0.0,24.0,0.0,54.5,47.3,7.2,30.5,23.3,7.2,2.2,2.1,0.1,,,,false,moderate
s3_shot_6i_40,62.1,6.8,27.0,2768,30.0,I-S1a-V0-P1,<115,25.5,26.2,-0.7,25.5,-0.7,59.7,51.1,8.6,34.2,24.9,9.3,2.6,2.5,0.1,,,,false,moderate
s3_shot_6i_41,82.5,9.9,-2.3,2620,13.6,I-S1b-V0-P1,<115,66.6,71.3,-4.7,66.6,-4.7,110.8,97.9,12.9,44.2,26.6,17.6,10.3,11.3,-1.0,,,,false,severe
s3_shot_6i_42,77.2,13.1,-3.4,4057,4.1,I-S1b-V1-P2,<115,76.2,76.6,-0.4,76.2,-0.4,76.2,92.9,-16.7,0.0,16.3,-16.3,18.5,17.5,1.0,,,,false,severe
s3_shot_6i_43,94.1,13.9,-4.7,4616,1.7,I-S2-V1-P2,115-150,122.9,117.3,5.6,122.9,5.6,128.4,128.6,-0.2,5.5,11.3,-5.8,42.8,35.0,7.8,,,,false,moderate
s3_shot_6i_44,115.0,9.5,-6.7,2314,15.1,D-S3-V0-P0,115-150,140.5,142.3,-1.8,140.5,-1.8,140.2,168.2,-28.0,-0.3,25.9,-26.2,25.2,26.6,-1.4,,,,false,severe
s3_shot_6i_45,109.3,6.4,-9.0,2510,-10.9,I-S3-V0-P1,<115,112.6,109.6,3.0,112.6,3.0,165.8,145.4,20.4,53.2,35.8,17.4,13.4,12.9,0.5,,,,false,severe
s3_shot_6i_46,116.3,13.7,0.3,3008,10.7,D-S3-V1-P1,150-180,166.3,167.3,-1.0,166.3,-1.0,170.8,179.3,-8.5,4.5,12.0,-7.5,48.6,51.6,-3.0,,,,false,moderate
s3_shot_6i_47,99.5,14.8,-2.9,4811,4.7,I-S2-V1-P2,115-150,137.3,131.2,6.1,137.3,6.1,146.0,137.7,8.3,8.7,6.5,2.2,56.4,45.0,11.4,,,,false,moderate
s3_shot_6i_48,101.7,15.2,-3.0,4631,4.3,I-S2-V1-P2,115-150,142.4,137.1,5.3,142.4,5.3,152.3,143.5,8.8,9.9,6.4,3.5,62.7,48.9,13.8,,,,false,moderate
s3_shot_6i_49,71.2,7.7,16.1,2625,30.0,I-S1a-V0-P1,<115,38.3,39.9,-1.6,38.3,-1.6,78.6,70.3,8.3,40.3,30.4,9.9,4.3,4.5,-0.2,,,,false,moderate
s3_shot_6i_50,82.8,14.8,-1.4,3783,2.8,I-S1b-V1-P1,<115,92.3,93.2,-0.9,92.3,-0.9,94.9,107.4,-12.5,2.6,14.2,-11.6,29.4,25.6,3.8,,,,false,severe
s3_shot_7i_25,83.3,13.2,3.0,3410,17.8,I-S1b-V1-P1,<115,86.0,86.9,-0.9,86.0,-0.9,86.4,104.8,-18.4,0.4,17.9,-17.5,21.0,20.1,0.9,,,,false,severe
s3_shot_7i_26,73.4,10.8,15.4,3561,30.0,I-S1b-V1-P1,<115,58.1,56.6,1.5,58.1,1.5,57.2,79.3,-22.1,-0.9,22.7,-23.6,10.7,9.6,1.1,,,,false,severe
s3_shot_7i_27,93.7,17.1,-1.4,4612,2.6,I-S2-V1-P2,115-150,123.5,122.3,1.2,123.5,1.2,133.0,128.3,4.7,9.5,6.0,3.5,53.7,46.0,7.7,,,,false,pass
s3_shot_7i_28,92.1,16.4,-3.6,4217,-0.4,I-S2-V1-P2,115-150,118.4,117.9,0.5,118.4,0.5,127.1,125.6,1.5,8.7,7.7,1.0,48.7,40.6,8.1,,,,false,pass
s3_shot_7i_29,107.6,13.8,-6.0,3633,4.7,I-S3-V1-P1,115-150,148.5,148.4,0.1,148.5,0.1,151.7,158.3,-6.6,3.2,9.9,-6.7,42.7,46.3,-3.6,,,,false,moderate
s3_shot_7i_30,90.2,17.6,-3.8,4508,-0.2,I-S2-V1-P2,115-150,114.7,115.4,-0.7,114.7,-0.7,122.7,121.7,1.0,8.0,6.3,1.7,48.4,43.1,5.3,,,,false,pass
s3_shot_7i_31,76.4,17.5,-0.5,5122,1.8,I-S1b-V1-P2,<115,80.7,85.0,-4.3,80.7,-4.3,80.7,94.5,-13.8,0.0,9.5,-9.5,24.4,28.4,-4.0,,,,false,severe
s3_shot_7i_32,93.1,17.0,-1.0,3762,4.2,I-S2-V1-P1,115-150,120.9,121.2,-0.3,120.9,-0.3,128.4,129.8,-1.4,7.5,8.6,-1.1,46.6,42.5,4.1,,,,false,pass
s3_shot_7i_33,92.4,17.0,-0.6,3852,2.8,I-S2-V1-P1,115-150,119.6,119.7,-0.1,119.6,-0.1,127.5,128.0,-0.5,7.9,8.3,-0.4,47.8,42.0,5.8,,,,false,pass
s3_shot_7i_34,104.2,14.7,-4.6,4081,1.9,I-S2-V1-P2,115-150,146.1,142.5,3.6,146.1,3.6,152.6,150.6,2.0,6.5,8.1,-1.6,51.2,48.2,3.0,,,,false,moderate
s3_shot_9i_1,89.0,15.1,-0.5,3563,11.3,I-S2-V1-P1,<115,106.9,106.7,0.2,106.9,0.2,110.3,120.8,-10.5,3.4,14.1,-10.7,32.7,30.8,1.9,,,,false,severe
s3_shot_9i_2,71.3,23.9,5.5,4086,8.3,I-S1a-V2-P2,<115,80.2,82.1,-1.9,80.2,-1.9,85.4,87.4,-2.0,5.2,5.3,-0.1,37.0,36.8,0.2,,,,false,pass
s3_shot_9i_3,90.1,21.7,2.8,5243,11.2,I-S2-V2-P2,115-150,115.4,117.3,-1.9,115.4,-1.9,122.1,120.7,1.4,6.7,3.4,3.3,52.3,57.7,-5.4,,,,false,pass
s3_shot_9i_5,84.0,19.4,3.8,5352,11.5,I-S1b-V2-P2,<115,103.0,102.7,0.3,103.0,0.3,104.8,107.2,-2.4,1.8,4.5,-2.7,37.4,41.8,-4.4,,,,false,pass
s3_shot_9i_7,83.0,22.5,5.3,7008,9.7,I-S1b-V2-P3,<115,103.4,101.1,2.3,103.4,2.3,105.5,102.6,2.9,2.1,1.5,0.6,47.9,51.5,-3.6,,,,false,pass
s3_shot_9i_8,92.2,21.9,-6.3,5042,0.7,I-S2-V2-P2,115-150,120.6,122.9,-2.3,120.6,-2.3,131.1,126.4,4.7,10.5,3.5,7.0,60.8,62.6,-1.8,,,,false,pass
s3_shot_9i_9,90.1,22.1,-3.1,5351,1.2,I-S2-V2-P2,115-150,116.3,118.1,-1.8,116.3,-1.8,123.4,121.1,2.3,7.1,3.0,4.1,53.8,60.1,-6.3,,,,false,pass
s3_shot_driver_51,116.2,21.7,2.2,6409,3.2,I-S3-V2-P3,150-180,166.1,162.9,3.2,166.1,3.2,183.5,164.3,19.2,17.4,1.4,16.0,100.8,108.7,-7.9,,,,false,severe
s3_shot_driver_52,102.1,31.3,3.1,8442,6.3,W-S2-V3-P4,115-150,128.2,124.5,3.7,128.2,3.7,142.4,124.1,18.3,14.2,-0.4,14.6,112.7,119.3,-6.6,,,,false,severe
s3_shot_driver_53,97.2,30.6,2.2,8926,6.0,W-S2-V3-P4,115-150,117.7,117.6,0.1,117.7,0.1,127.4,117.1,10.3,9.7,-0.5,10.2,97.4,105.8,-8.4,,,,false,severe
s3_shot_driver_54,121.5,12.9,-5.3,3411,-10.0,D-S4-V1-P1,150-180,178.7,178.2,0.5,178.7,0.5,183.8,188.7,-4.9,5.1,10.5,-5.4,53.0,56.5,-3.5,,,,false,pass
s3_shot_driver_55,117.5,7.5,-8.3,2150,-27.2,D-S3-V0-P0,115-150,127.6,125.6,2.0,127.6,2.0,183.5,161.8,21.7,55.9,36.2,19.7,17.6,17.2,0.4,,,,false,severe
s3_shot_driver_56,118.7,17.1,-1.8,4554,2.8,D-S3-V1-P2,150-180,175.8,176.6,-0.8,175.8,-0.8,194.6,180.9,13.7,18.8,4.3,14.5,90.4,83.2,7.2,,,,false,severe
s3_shot_driver_57,120.9,14.1,-5.2,1544,-8.0,D-S4-V1-P0,150-180,174.3,177.6,-3.3,174.3,-3.3,179.3,197.0,-17.7,5.0,19.4,-14.4,48.2,50.9,-2.7,,,,false,severe
s3_shot_driver_58,119.3,23.6,2.5,7093,3.3,I-S3-V2-P3,150-180,172.5,163.2,9.3,172.5,9.3,188.4,163.9,24.5,15.9,0.7,15.2,112.7,125.7,-13.0,,,,false,severe
s3_shot_driver_59,81.0,44.9,8.9,6735,12.4,W-S1b-V4-P3,<115,82.1,83.7,-1.6,82.1,-1.6,97.6,83.2,14.4,15.5,-0.5,16.0,103.6,107.8,-4.2,,,,false,severe
s3_shot_driver_60,107.4,11.7,-8.6,3269,-14.8,I-S3-V1-P1,115-150,137.9,138.5,-0.6,137.9,-0.6,138.4,153.8,-15.4,0.5,15.3,-14.8,31.5,34.0,-2.5,,,,false,severe
s3_shot_pw_64,69.6,28.6,0.2,5327,5.1,I-S1a-V3-P2,<115,83.5,80.1,3.4,83.5,3.4,88.7,82.4,6.3,5.2,2.3,2.9,47.0,46.4,0.6,,,,false,moderate
s3_shot_pw_65,81.2,28.4,2.9,6959,9.4,I-S1b-V3-P3,<115,99.5,98.5,1.0,99.5,1.0,105.6,99.4,6.2,6.1,0.9,5.2,62.7,65.6,-2.9,,,,false,moderate
s3_shot_pw_66,75.7,27.3,-1.2,6605,4.0,I-S1b-V3-P3,<115,88.1,89.7,-1.6,88.1,-1.6,91.7,90.8,0.9,3.6,1.1,2.5,50.5,53.5,-3.0,,,,false,pass
s3_shot_pw_67,81.7,28.1,6.3,6510,12.7,I-S1b-V3-P3,<115,101.3,100.0,1.3,101.3,1.3,108.3,101.1,7.2,7.0,1.1,5.9,61.9,65.0,-3.1,,,,false,moderate
s3_shot_pw_68,88.5,23.4,-0.1,6637,6.0,I-S2-V2-P3,<115,113.3,112.7,0.6,113.3,0.6,118.0,114.1,3.9,4.7,1.4,3.3,56.4,63.4,-7.0,,,,false,pass
s3_shot_pw_69,74.1,23.6,0.2,5880,8.4,I-S1b-V2-P3,<115,84.0,86.0,-2.0,84.0,-2.0,85.7,88.8,-3.1,1.7,2.8,-1.1,37.7,41.2,-3.5,,,,false,pass
s4_shot_3w_31,106.9,15.7,-2.4,3662,8.9,I-S3-V1-P1,150-180,150.2,150.3,-0.1,150.2,-0.1,155.2,158.8,-3.6,5.0,8.5,-3.5,50.1,53.7,-3.6,,,,false,pass
s4_shot_3w_32,105.5,18.5,-1.4,5714,2.3,I-S3-V2-P3,115-150,144.3,146.0,-1.7,144.3,-1.7,153.2,148.8,4.4,8.9,2.8,6.1,67.6,71.9,-4.3,,,,false,pass
s4_shot_3w_33,99.7,20.5,0.5,6997,1.6,I-S2-V2-P3,115-150,138.4,132.0,6.4,138.4,6.4,143.0,133.4,9.6,4.6,1.4,3.2,63.7,72.8,-9.1,,,,false,moderate
s4_shot_3w_34,114.6,15.3,2.4,3502,12.8,D-S3-V1-P1,150-180,165.9,166.6,-0.7,165.9,-0.7,173.4,175.4,-2.0,7.5,8.8,-1.3,56.4,60.3,-3.9,,,,false,pass
s4_shot_3w_35,117.9,14.4,3.6,3735,13.3,D-S3-V1-P1,150-180,171.7,171.9,-0.2,171.7,-0.2,177.5,180.2,-2.7,5.8,8.3,-2.5,56.4,61.1,-4.7,,,,false,pass
s4_shot_5i_25,89.1,16.7,1.1,5262,6.2,I-S2-V1-P2,<115,107.9,110.8,-2.9,107.9,-2.9,108.9,116.1,-7.2,1.0,5.3,-4.3,34.6,40.1,-5.5,,,,false,moderate
s4_shot_5i_26,106.3,15.5,-3.6,4114,3.4,I-S3-V1-P2,115-150,151.8,148.7,3.1,151.8,3.1,160.9,155.9,5.0,9.1,7.2,1.9,57.4,54.5,2.9,,,,false,moderate
s4_shot_5i_27,84.9,7.0,5.7,2263,30.0,I-S1b-V0-P0,<115,54.3,55.3,-1.0,54.3,-1.0,104.1,92.1,12.0,49.8,36.8,13.0,5.7,5.8,-0.1,,,,false,severe
s4_shot_5i_28,86.0,15.9,-1.6,4179,1.0,I-S2-V1-P2,<115,102.9,103.1,-0.2,102.9,-0.2,107.7,114.6,-6.9,4.8,11.5,-6.7,37.2,32.2,5.0,,,,false,moderate
s4_shot_5i_29,76.2,6.1,0.7,3695,-0.0,I-S1b-V0-P1,<115,52.5,46.2,6.3,52.5,6.3,87.1,73.3,13.8,34.6,27.1,7.5,5.3,4.3,1.0,,,,false,severe
s4_shot_5i_30,96.8,18.2,0.7,6358,17.5,I-S2-V2-P3,115-150,127.1,124.7,2.4,127.1,2.4,129.3,127.7,1.6,2.2,3.0,-0.8,47.7,55.5,-7.8,,,,false,pass
s4_shot_6i_19,85.6,14.7,2.9,4623,10.9,I-S2-V1-P2,<115,98.4,98.9,-0.5,98.4,-0.5,99.3,110.8,-11.5,0.9,11.9,-11.0,28.8,28.6,0.2,,,,false,severe
s4_shot_6i_20,78.8,9.7,-0.7,4289,-0.0,I-S1b-V0-P2,<115,69.3,69.4,-0.1,69.3,-0.1,101.0,89.6,11.4,31.7,20.2,11.5,11.5,11.5,0.0,,,,false,severe
s4_shot_6i_21,91.9,17.8,0.7,5967,11.5,I-S2-V1-P3,115-150,117.3,116.4,0.9,117.3,0.9,118.6,120.1,-1.5,1.3,3.7,-2.4,40.8,47.6,-6.8,,,,false,pass
s4_shot_6i_22,76.9,7.7,14.4,3780,30.0,I-S1b-V0-P1,<115,55.3,50.8,4.5,55.3,4.5,89.6,78.8,10.8,34.3,28.0,6.3,6.9,6.0,0.9,,,,false,severe
s4_shot_6i_23,86.7,15.4,2.8,4196,11.9,I-S2-V1-P2,,103.5,,,103.5,,107.2,,,3.7,,,35.9,,,,,,false,
s4_shot_6i_24,90.8,14.8,3.0,5270,14.9,I-S2-V1-P2,,107.9,,,107.9,,108.2,,,0.3,,,30.6,,,,,,false,
s4_shot_9i_13,73.1,12.5,11.3,4979,21.3,I-S1b-V1-P2,,60.0,,,60.0,,57.8,,,-2.2,,,11.7,,,,,,false,
s4_shot_9i_14,87.1,22.1,0.3,5730,4.7,I-S2-V2-P3,<115,109.1,111.2,-2.1,109.1,-2.1,113.5,113.9,-0.4,4.4,2.7,1.7,48.8,55.8,-7.0,,,,false,pass
s4_shot_9i_15,75.3,23.7,-1.3,6790,2.9,I-S1b-V2-P3,<115,86.2,87.7,-1.5,86.2,-1.5,101.9,89.3,12.6,15.7,1.6,14.1,40.7,43.9,-3.2,,,,false,severe
s4_shot_9i_17,79.4,14.9,16.4,4369,30.0,I-S1b-V1-P2,<115,79.8,80.9,-1.1,79.8,-1.1,79.9,95.6,-15.7,0.1,14.7,-14.6,21.1,21.4,-0.3,,,,false,severe
s4_shot_9i_18,74.6,23.6,2.5,6418,6.1,I-S1b-V2-P3,<115,85.0,86.6,-1.6,85.0,-1.6,101.6,88.8,12.8,16.6,2.2,14.4,39.3,42.3,-3.0,,,,false,severe
s4_shot_lw_38,47.6,37.8,6.1,5609,5.6,C-S0-V4-P3,<115,41.3,42.4,-1.1,41.3,-1.1,52.4,43.4,9.0,11.1,1.0,10.1,29.4,30.5,-1.1,,,,false,moderate
s4_shot_pw_1,69.8,20.1,-0.6,3577,8.0,I-S1a-V2-P1,<115,73.8,74.8,-1.0,73.8,-1.0,77.0,83.7,-6.7,3.2,8.9,-5.7,29.3,26.2,3.1,,,,false,moderate
s4_shot_pw_10,76.3,26.8,0.7,5989,4.9,I-S1b-V3-P3,<115,90.4,91.5,-1.1,90.4,-1.1,95.1,93.2,1.9,4.7,1.7,3.0,49.4,52.8,-3.4,,,,false,pass
s4_shot_pw_11,76.3,27.4,-0.6,6296,5.2,I-S1b-V3-P3,<115,90.0,91.1,-1.1,90.0,-1.1,94.0,92.5,1.5,4.0,1.4,2.6,51.2,54.2,-3.0,,,,false,pass
s4_shot_pw_2,53.2,25.0,0.2,4085,3.0,C-S0-V2-P2,<115,48.9,48.5,0.4,48.9,0.4,68.2,56.0,12.2,19.3,7.5,11.8,20.6,20.2,0.4,,,,false,severe
s4_shot_pw_3,62.8,31.1,6.6,6129,6.3,W-S1a-V3-P3,<115,65.8,67.3,-1.5,65.8,-1.5,79.9,68.6,11.3,14.1,1.3,12.8,40.7,41.8,-1.1,,,,false,severe
s4_shot_pw_47,46.7,24.6,2.3,3699,-0.0,C-S0-V2-P1,<115,36.8,37.4,-0.6,36.8,-0.6,54.7,45.2,9.5,17.9,7.8,10.1,14.6,14.6,0.0,,,,false,moderate
